teryt6,name,population,area_km2,lat,lng
246401,Częstochowa,220433,159.734,50.808369,19.127203
240501,Knurów,38112,33.864,50.224632,18.658687
240502,Pyskowice,18429,31.211,50.402516,18.625715
240503,Gierałtowice,12183,38.3,50.230472,18.744187
240504,Pilchowice,12013,69.94,50.220662,18.582679
240505,Rudziniec,10643,158.825,50.368439,18.478936
240506,Sośnicowice,8909,116.57,50.270471,18.528955
240507,Toszek,9383,99.878,50.452345,18.522285
240508,Wielowieś,5856,116.137,50.507635,18.575507
246601,Gliwice,178603,133.868,50.295823,18.673098
247801,Zabrze,172360,80.423,50.311,18.785466
246301,Chorzów,107807,33.312,50.292026,18.947881
246901,Katowice,292774,164.74,50.249909,19.012536
247001,Mysłowice,74618,65.662,50.234367,19.13277
247201,Ruda Śląska,137360,77.636,50.277849,18.869865
247401,Siemianowice Śląskie,66841,25.508,50.306749,19.012948
247601,Świętochłowice,49557,13.308,50.298239,18.915223
241101,Racibórz,54739,75.011,50.088008,18.211954
241102,Kornowac,5159,26.217,50.076787,18.311715
241103,Krzanowice,5742,47.175,50.022584,18.138327
241104,Krzyżanowice,11274,69.394,49.979403,18.263771
241105,Kuźnia Raciborska,11768,126.625,50.1996,18.326091
241106,Nędza,7453,57.189,50.155554,18.305849
241107,Pietrowice Wielkie,6883,67.893,50.089804,18.096008
241108,Rudnik,5193,73.911,50.15112,18.190009
241201,Czerwionka-Leszczyny,42121,114.618,50.144302,18.652993
241202,Gaszowice,9798,19.62,50.099521,18.428898
241203,Jejkowice,4154,7.633,50.107529,18.472782
241204,Lyski,9654,57.643,50.123753,18.380435
241205,Świerklany,12486,24.207,50.030139,18.579825
241501,Pszów,13844,20.446,50.041588,18.398668
241502,Radlin,17759,12.539,50.048772,18.476584
241503,Rydułtowy,21514,14.936,50.068991,18.42263
241504,Wodzisław Śląski,47813,49.434,50.008714,18.462226
241505,Godów,13813,38.033,49.933178,18.490532
241506,Gorzyce,21338,64.827,49.973444,18.393023
241507,Lubomia,7912,41.947,50.030127,18.31631
241508,Marklowice,5405,13.694,50.021032,18.515789
241509,Mszana,7690,31.191,49.979056,18.525386
246701,Jastrzębie-Zdrój,88743,85.333,49.950313,18.600147
247301,Rybnik,138098,148.255,50.084695,18.547552
247901,Żory,62472,64.649,50.034024,18.687571
240101,Będzin,56354,37.392,50.323123,19.124106
240102,Czeladź,31405,16.354,50.313696,19.081362
240103,Wojkowice,8942,12.787,50.364353,19.025129
240104,Bobrowniki,12132,51.532,50.386298,19.01089
240105,Mierzęcice,7635,49.479,50.443388,19.138643
240106,Psary,12221,46.139,50.377727,19.124915
240107,Siewierz,12417,113.93,50.471641,19.22914
240108,Sławków,6983,36.669,50.29856,19.381354
241601,Poręba,8480,39.99,50.48525,19.33455
241602,Zawiercie,49204,85.277,50.490581,19.434143
241603,Irządze,2601,71.018,50.634289,19.679181
241604,Kroczyce,6306,110.02,50.56543,19.587456
241605,Łazy,15893,132.942,50.424642,19.389258
241606,Ogrodzieniec,9061,84.75,50.451934,19.525834
241607,Pilica,8570,142.781,50.469667,19.671929
241608,Szczekociny,7658,135.293,50.626009,19.819111
241609,Włodowice,5254,76.787,50.547298,19.450918
241610,Żarnowiec,4597,124.806,50.484833,19.844098
246501,Dąbrowa Górnicza,119373,188.722,50.32927,19.209493
246801,Jaworzno,91115,152.412,50.213645,19.255513
247501,Sosnowiec,199974,91.184,50.283255,19.152082
240801,Łaziska Górne,22202,20.107,50.147018,18.853143
240802,Mikołów,41014,79.228,50.17014,18.898488
240803,Orzesze,21189,83.697,50.136226,18.774605
240804,Ornontowice,6176,15.198,50.17737,18.76679
240805,Wyry,8409,34.624,50.120137,18.888091
241001,Goczałkowice-Zdrój,6755,47.56,49.94483,18.962099
241002,Kobiór,4905,48.163,50.066624,18.942289
241003,Miedźna,16590,50.276,50.010271,19.105153
241004,Pawłowice,18172,75.695,49.962125,18.698855
241005,Pszczyna,52770,174.685,49.977612,18.939593
241006,Suszec,12347,75.05,50.024632,18.801752
241401,Bieruń,19507,40.547,50.084988,19.133773
241402,Imielin,9189,28.009,50.145401,19.184957
241403,Lędziny,16798,31.559,50.137069,19.12956
241404,Bojszowy,7924,34.649,50.055581,19.086807
241405,Chełm Śląski,6358,23.366,50.109907,19.193318
247701,Tychy,127590,81.816,50.114276,18.984003
080101,Kostrzyn nad Odrą,17730,46.145,52.590375,14.653237
